fact_id,employee_id,department_id,region_id,KPIs_met_more_than_80,awards_won,avg_training_score,previous_year_rating,no_of_trainings
1,8724,1,1,1,0,77.0,3.3454590756197833,1
2,74430,2,2,0,0,51.0,3.0,1
3,72255,3,3,0,0,47.0,1.0,1
4,38562,4,4,0,0,65.0,2.0,3
5,64486,5,5,0,0,61.0,4.0,1
6,46232,4,6,0,0,68.0,3.0,1
7,54542,5,4,1,0,57.0,5.0,1
8,67269,6,7,0,0,85.0,3.0,2
9,66174,1,6,0,0,75.0,4.0,1
10,76303,1,7,1,0,76.0,5.0,1
11,60245,3,8,1,0,50.0,5.0,2
12,42639,3,9,0,0,46.0,3.0,1
13,30963,3,2,0,0,52.0,3.0,1
14,54055,6,10,0,0,82.0,3.0,1
15,42996,7,11,1,0,58.0,5.0,1
16,12737,3,6,1,0,47.0,4.0,1
17,27561,7,12,0,0,56.0,5.0,1
18,26622,3,9,1,0,50.0,5.0,1
19,31582,4,6,1,0,64.0,3.0,1
20,29793,4,12,0,0,65.0,2.0,1
21,72735,3,13,0,0,47.0,5.0,1
22,5677,1,9,0,0,80.0,3.3454590756197833,1
23,60889,1,5,0,0,83.0,1.0,1
24,51498,4,2,0,0,76.0,3.0,1
25,8566,5,14,1,0,58.0,4.0,1
26,53151,7,14,1,1,62.0,3.0,1
27,16203,3,9,1,0,50.0,4.0,1
28,61083,6,3,1,0,87.0,3.0,1
29,74849,7,7,0,0,61.0,1.0,1
30,13259,3,15,0,0,50.0,2.0,1
31,72407,6,4,0,0,87.0,4.0,2
32,65237,3,4,0,0,52.0,1.0,2
33,67672,1,9,1,0,85.0,3.3454590756197833,1
34,77460,3,4,1,0,52.0,3.0,1
35,67317,1,7,0,0,77.0,3.0,4
36,68788,1,16,0,0,83.0,4.0,2
37,36834,3,17,1,0,55.0,3.0,1
38,64281,3,18,1,0,46.0,1.0,2
39,1822,3,7,0,0,51.0,1.0,3
40,55325,6,7,0,0,88.0,3.3454590756197833,1
41,41432,6,1,1,0,90.0,5.0,1
42,52061,3,19,0,0,52.0,2.0,1
43,39973,7,3,1,0,66.0,5.0,1
44,42524,3,19,0,0,45.0,4.0,1
45,7935,1,4,0,0,80.0,5.0,1
46,49940,3,6,1,0,54.0,5.0,1
47,10059,6,15,0,0,83.0,3.0,3
48,44159,6,7,1,0,84.0,3.3454590756197833,1
49,76691,7,16,1,0,59.0,4.0,1
50,3720,3,4,1,0,49.0,5.0,1
51,5621,1,4,0,0,76.0,1.0,1
52,24147,3,4,0,0,49.0,1.0,2
53,33997,3,20,0,0,50.0,2.0,1
54,64076,7,4,1,0,56.0,3.3454590756197833,1
55,21379,1,2,1,0,85.0,3.3454590756197833,1
56,23714,1,6,0,0,81.0,3.0,2
57,19866,1,16,0,0,79.0,3.0,2
58,4529,5,7,1,0,61.0,3.0,1
59,64703,8,4,0,0,62.0,2.0,1
60,19649,7,7,1,0,56.0,5.0,1
61,6596,3,4,0,0,49.0,4.0,1
62,7999,1,2,1,0,78.0,2.0,1
63,4762,3,7,0,0,46.0,1.0,1
64,5387,1,21,0,0,81.0,3.3454590756197833,1
65,24620,7,1,1,0,60.0,4.0,1
66,57989,4,4,1,0,74.0,5.0,1
67,75619,3,22,0,0,51.0,2.0,1
68,26977,7,4,0,0,59.0,3.0,1
69,65975,6,5,1,0,84.0,5.0,2
70,51302,4,7,0,0,64.0,1.0,1
71,63714,1,2,0,0,76.0,3.0,1
72,70556,7,4,1,0,57.0,3.0,3
73,70117,1,23,0,0,84.0,3.0,1
