employee_id,gender,age,education,recruitment_channel,length_of_service
8724,Male,24,Bachelors,sourcing,1
74430,Female,31,Bachelors,other,5
72255,Male,31,Bachelors,other,4
38562,Female,31,Bachelors,other,9
64486,Male,30,Bachelors,sourcing,7
46232,Male,36,Bachelors,sourcing,2
54542,Male,33,Bachelors,other,3
67269,Male,36,Bachelors,sourcing,3
66174,Male,51,Masters & above,other,11
76303,Male,29,Bachelors,sourcing,2
60245,Male,40,Bachelors,sourcing,12
42639,Male,40,Masters & above,sourcing,10
30963,Female,34,Masters & above,other,4
54055,Male,37,Bachelors,other,10
42996,Male,30,Bachelors,sourcing,6
12737,Male,31,Bachelors,sourcing,4
27561,Female,26,Bachelors,sourcing,3
26622,Male,40,Bachelors,sourcing,6
31582,Female,49,Bachelors,other,7
29793,Male,27,Bachelors,other,5
72735,Male,37,Masters & above,sourcing,3
5677,Male,25,Bachelors,sourcing,1
60889,Male,30,Masters & above,sourcing,3
51498,Male,41,Masters & above,other,4
8566,Female,29,Bachelors,other,6
53151,Male,33,Bachelors,other,7
16203,Male,34,Masters & above,sourcing,6
61083,Male,34,Bachelors,sourcing,3
74849,Male,52,Bachelors,other,10
13259,Male,30,Bachelors,sourcing,3
72407,Male,34,Masters & above,sourcing,7
65237,Male,43,Bachelors,sourcing,14
67672,Male,29,Bachelors,other,1
77460,Female,35,Bachelors,sourcing,3
67317,Male,40,Masters & above,other,12
68788,Male,33,Bachelors,sourcing,9
36834,Male,30,Masters & above,other,2
64281,Female,42,Bachelors,sourcing,3
1822,Male,29,Bachelors,sourcing,3
55325,Male,25,Bachelors,other,1
41432,Male,26,Bachelors,sourcing,4
52061,Male,27,Bachelors,other,3
39973,Male,34,Bachelors,other,5
42524,Male,26,Bachelors,sourcing,5
7935,Female,52,Bachelors,other,18
49940,Male,26,Bachelors,other,2
10059,Male,27,Bachelors,sourcing,2
44159,Male,31,Masters & above,other,1
76691,Male,33,Bachelors,other,8
3720,Male,36,Bachelors,sourcing,4
5621,Female,57,Masters & above,other,26
24147,Male,46,Bachelors,other,7
33997,Male,30,Bachelors,sourcing,3
64076,Male,21,Below Secondary,other,1
21379,Male,26,Bachelors,sourcing,1
23714,Male,40,Masters & above,sourcing,6
19866,Male,32,Bachelors,other,6
4529,Female,36,Masters & above,sourcing,2
64703,Male,28,Bachelors,other,2
19649,Female,29,Bachelors,sourcing,4
6596,Male,38,Masters & above,sourcing,4
7999,Male,31,Bachelors,other,4
4762,Male,29,Bachelors,other,4
5387,Male,23,Below Secondary,other,1
24620,Male,41,Bachelors,sourcing,6
57989,Male,29,Bachelors,other,2
75619,Female,29,Bachelors,other,5
26977,Male,28,Bachelors,sourcing,3
65975,Male,28,Bachelors,other,4
51302,Female,31,Bachelors,sourcing,6
63714,Male,36,Masters & above,sourcing,4
70556,Male,26,Bachelors,other,4
70117,Male,29,Bachelors,other,2
51972,Male,32,Bachelors,sourcing,6
60572,Female,40,Bachelors,other,10
9548,Male,38,Bachelors,sourcing,13
64,Male,42,Bachelors,other,11
35510,Female,33,Masters & above,other,6
10732,Male,31,Bachelors,other,5
9214,Female,35,Masters & above,sourcing,4
10761,Female,58,Masters & above,sourcing,6
32110,Female,26,Bachelors,sourcing,4
50038,Female,33,Bachelors,sourcing,8
1555,Male,30,Bachelors,sourcing,3
21200,Female,43,Masters & above,sourcing,12
50380,Female,31,Bachelors,sourcing,7
45009,Male,32,Bachelors,sourcing,5
65450,Female,57,Masters & above,sourcing,7
77333,Female,54,Bachelors,other,22
2347,Male,37,Bachelors,other,8
8443,Male,27,Masters & above,other,5
39490,Male,44,Masters & above,sourcing,10
69077,Female,37,Masters & above,other,10
64652,Male,48,Masters & above,other,8
5254,Female,31,Bachelors,other,6
71131,Female,28,Bachelors,other,5
19620,Female,34,Masters & above,other,4
41266,Female,44,Bachelors,sourcing,4
11001,Male,27,Bachelors,sourcing,2
28530,Male,45,Masters & above,referred,4
72481,Male,24,Bachelors,sourcing,2
67417,Male,37,Bachelors,other,4
51840,Male,27,Masters & above,other,1
43223,Male,33,Bachelors,other,1
40287,Female,31,Masters & above,other,2
29367,Male,38,Masters & above,sourcing,5
36352,Male,32,Bachelors,other,2
29681,Male,29,Bachelors,other,4
30233,Male,37,Bachelors,other,9
66601,Male,42,Bachelors,other,12
40276,Male,32,Masters & above,sourcing,5
1522,Male,45,Bachelors,other,3
17936,Male,28,Bachelors,other,7
26270,Male,35,Masters & above,sourcing,9
6837,Male,28,Bachelors,other,5
49665,Female,37,Bachelors,other,3
1908,Male,38,Masters & above,other,7
6474,Female,31,Bachelors,sourcing,6
27495,Male,43,Masters & above,other,2
24324,Male,32,Bachelors,other,2
14299,Male,24,Below Secondary,sourcing,2
56246,Male,52,Masters & above,other,8
3901,Male,38,Masters & above,other,2
41566,Male,35,Bachelors,other,4
55735,Male,39,Masters & above,other,4
53627,Male,31,Bachelors,other,5
62683,Male,37,Bachelors,sourcing,5
42719,Male,27,Bachelors,sourcing,1
44948,Female,37,Masters & above,other,9
26037,Male,31,Bachelors,other,5
30607,Male,28,Bachelors,sourcing,4
46103,Male,26,Bachelors,other,3
6452,Male,49,Masters & above,other,7
47286,Female,34,Bachelors,other,9
44117,Female,38,Masters & above,other,2
1367,Male,52,Masters & above,other,4
26228,Male,31,Bachelors,sourcing,7
65694,Female,24,Bachelors,other,2
2721,Female,26,Bachelors,sourcing,3
63901,Male,31,Bachelors,other,5
4701,Female,43,Bachelors,other,4
35341,Male,37,Masters & above,other,6
3203,Male,37,Bachelors,sourcing,4
10361,Male,37,Masters & above,other,9
6572,Male,32,Bachelors,other,8
70408,Female,30,Bachelors,other,2
11774,Female,30,Bachelors,other,4
37873,Male,27,Bachelors,sourcing,3
3886,Male,36,Bachelors,other,8
23347,Male,30,Bachelors,sourcing,2
3034,Male,49,Masters & above,sourcing,19
30137,Male,38,Masters & above,other,5
52431,Male,29,Bachelors,other,6
11061,Male,48,Bachelors,other,6
9706,Male,29,Bachelors,other,1
17607,Male,59,Masters & above,other,13
64986,Female,36,Bachelors,other,5
8082,Male,28,Bachelors,other,3
20982,Male,27,Bachelors,other,2
5794,Male,25,Bachelors,sourcing,2
69381,Male,30,Bachelors,other,6
50176,Male,23,Below Secondary,other,1
1612,Female,28,Bachelors,sourcing,1
48923,Male,38,Bachelors,other,5
50366,Male,30,Bachelors,sourcing,1
48813,Female,53,Bachelors,other,21
5574,Male,35,Masters & above,other,8
57601,Male,45,Bachelors,other,14
26788,Male,40,Bachelors,sourcing,8
564,Male,39,Bachelors,other,8
3864,Male,46,Bachelors,other,6
19598,Male,29,Bachelors,sourcing,3
19513,Male,28,Bachelors,other,1
74965,Female,34,Bachelors,other,6
42353,Male,23,Bachelors,other,1
13367,Male,38,Bachelors,other,3
38556,Male,32,Masters & above,sourcing,5
51344,Male,33,Bachelors,other,5
28320,Female,39,Bachelors,other,9
56104,Male,36,Masters & above,other,6
68882,Male,33,Bachelors,sourcing,4
75800,Female,29,Bachelors,other,6
13223,Female,32,Bachelors,other,5
62740,Female,26,Bachelors,sourcing,2
67233,Male,38,Bachelors,sourcing,3
49207,Male,42,Masters & above,sourcing,15
19053,Female,30,Bachelors,sourcing,6
38096,Male,28,Bachelors,sourcing,1
46519,Male,36,Bachelors,other,6
2111,Female,56,Bachelors,other,6
69413,Female,30,Bachelors,other,5
53827,Male,25,Bachelors,other,1
40064,Female,29,Bachelors,other,6
33502,Male,36,Bachelors,other,7
15182,Female,39,Bachelors,other,4
13593,Male,30,Bachelors,sourcing,4
15613,Male,42,Bachelors,other,9
75751,Male,37,Bachelors,sourcing,9
71625,Male,31,Bachelors,sourcing,2
37763,Male,32,Masters & above,sourcing,6
10812,Male,40,Masters & above,other,11
67357,Male,39,Bachelors,sourcing,10
49583,Male,40,Bachelors,other,10
45428,Male,23,Bachelors,sourcing,2
9978,Male,28,Bachelors,sourcing,1
44266,Male,37,Bachelors,other,4
47252,Male,23,Below Secondary,sourcing,1
57884,Male,37,Bachelors,sourcing,9
24334,Male,29,Bachelors,referred,3
58892,Female,38,Bachelors,other,10
40799,Male,39,Bachelors,other,10
33879,Male,38,Masters & above,other,7
24403,Male,34,Bachelors,sourcing,4
51150,Female,48,Bachelors,other,21
7722,Male,29,Masters & above,other,4
71271,Female,37,Masters & above,other,7
56772,Male,23,Bachelors,other,1
65909,Female,47,Bachelors,other,2
8228,Male,31,Bachelors,sourcing,3
52138,Male,28,Bachelors,other,4
22999,Female,32,Masters & above,other,6
29196,Female,33,Bachelors,other,4
10663,Male,28,Bachelors,sourcing,1
65651,Male,32,Bachelors,other,1
17973,Male,34,Bachelors,sourcing,10
10986,Male,38,Bachelors,sourcing,3
19355,Male,28,Bachelors,other,5
75402,Male,34,Masters & above,other,3
52587,Male,44,Bachelors,other,16
41662,Male,28,Bachelors,sourcing,4
73944,Female,31,Bachelors,other,5
3987,Male,34,Bachelors,other,5
40057,Male,22,Below Secondary,other,2
76195,Male,20,Bachelors,other,1
12411,Female,32,Bachelors,other,7
